RowIndex,Agent1,Agent2,CountryCode1,CountryCode2,Year,Theta1,Theta2,Lambda1,Lambda2,Prob_SQ,Prob_ACQ1,Prob_ACQ2,Prob_NEGO,Prob_CAP1,Prob_CAP2,Prob_WAR,Prediction,GroundTruth,PredictionCorrect,TotalProbability,U1_Acq1,U1_Acq2,U1_Cap1,U1_Cap2,U1_Nego,U1_SQ,U1_War1,U1_War2,U2_Acq1,U2_Acq2,U2_Cap1,U2_Cap2,U2_Nego,U2_SQ,U2_War1,U2_War2
71,UNITED STATES,LITHUANIA,2,368,1937,0,0,1,1,0.085929728,0.120304853,0.330730406,0.024293233,0.061981924,0.106087493,0.270672363,ACQ2,SQ,0,1,-1.272807,0.651284,-1.442342,0.965452,0.325084,-0.378303,0.554485,0.469718,1.1772,-0.987503,1.26645,-1.751582,-0.476803,0.122301,-1.151631,-0.769592
72,ROMANIA,None,360,345,1895,0,0,1,1,0.149224553,0.193496194,0.286186942,0.048470666,0.098413991,0.073986585,0.150221068,ACQ2,SQ,0,1,-0.212046,1.441177,-0.38853,0.847129,1.149409,0.721356,0.467119,0.378877,1.195167,-0.468752,1.139834,-1.392046,-0.341119,0.420376,-1.319745,-0.858098
73,COLOMBIA,UNITED STATES,100,2,1909,0,0,1,1,0.107587608,0.408925086,0.100708547,0.032661581,0.105917195,0.057555405,0.186644579,ACQ1,SQ,0,1,-1.145155,0.863914,-2.143677,0.864171,-1.142184,-0.17384,-1.641187,-2.140448,0.674294,-1.239269,0.848056,-1.239712,0.673446,-0.342633,0.846766,0.846987
74,ITALY,SPAIN,325,230,1912,0,0,1,1,0.143699632,0.233294497,0.237472437,0.037784887,0.082461298,0.083361054,0.181926195,ACQ2,SQ,0,1,-0.532483,1.557966,-1.224846,1.351761,0.110618,0.670288,-0.441769,-0.78795,1.309371,-0.778187,1.133144,-1.515275,-0.229342,0.337918,-1.142657,-0.774113
75,ECUADOR,BRAZIL,130,140,1868,0,0,1,1,0.09126097,0.370376861,0.106428569,0.033217532,0.106719021,0.069312993,0.222684054,ACQ1,SQ,0,1,-1.083433,1.329981,-1.990715,1.314007,-0.859667,0.172289,-1.329283,-1.782924,1.13017,-1.202907,0.977992,-1.319635,0.857833,-0.049246,0.588927,0.647291
76,CHINA,BULGARIA,710,355,1974,0,0,1,1,0.086635983,0.197416584,0.218363841,0.025273574,0.085724531,0.088023096,0.298562392,WAR,SQ,0,1,-1.167184,0.965779,-1.646518,1.032684,-0.056624,-0.128499,-0.229387,-0.469054,1.308849,-0.954359,1.36544,-1.51396,0.042356,0.236262,-0.460654,-0.180854
77,PAKISTAN,UNITED KINGDOM,770,200,1977,0,0,1,1,0.167474351,0.254611989,0.229303121,0.04509307,0.078591539,0.082003742,0.142922189,ACQ1,SQ,0,1,-0.534186,0.513038,-1.111864,0.517739,-0.09192,-0.01113,-0.376059,-0.664898,0.000659,-0.90501,0.008373,-1.211887,-0.27727,-0.470525,-0.576433,-0.422994
78,BAHRAIN,SAUDI ARABIA,692,670,1986,0,0,1,1,0.271760572,0.281731855,0.219231823,0.046680292,0.058566038,0.054124158,0.067905263,ACQ1,SQ,0,1,-0.235736,-0.233859,-1.147607,-0.213166,-0.23557,-0.234797,-0.670814,-1.12675,-0.517194,-0.518875,-0.303056,-0.606866,-0.517342,-0.518034,-0.391195,-0.3472
79,URUGUAY,FRANCE,165,220,1954,0,0,1,1,0.0205329,0.067278354,0.213297037,0.00683589,0.045068496,0.085209255,0.561778068,WAR,SQ,0,1,-1.895416,1.234274,-2.187979,1.761554,0.318643,-0.745338,0.699641,0.55336,1.973695,-1.690556,2.259545,-2.307039,-0.285255,0.725684,-0.615889,-0.307647
80,SPAIN,UNITED KINGDOM,230,200,1874,0,0,1,1,0.089263379,0.396830691,0.094370581,0.031371278,0.11005951,0.061687385,0.216417176,ACQ1,SQ,0,1,-1.164326,1.212589,-2.100737,1.210479,-1.013179,0.033176,-1.483494,-1.9517,1.251522,-1.141273,1.220949,-1.219736,1.063776,0.076258,0.95474,0.993972
81,RUSSIAN FEDERATION,None,365,245,1859,0,0,1,1,0.117714122,0.18289988,0.273864851,0.032000074,0.07636371,0.093657297,0.223500066,ACQ2,SQ,0,1,-0.947709,1.567627,-1.540548,1.380272,0.076438,0.460149,-0.407337,-0.703756,1.595523,-0.920857,1.504688,-1.723454,-0.424117,0.503591,-1.317549,-0.916251
82,PERU,UNITED KINGDOM,135,200,1888,0,0,1,1,0.094561611,0.382545636,0.103636198,0.029262259,0.109023032,0.059455738,0.221515527,ACQ1,SQ,0,1,-1.156767,0.922634,-2.039887,0.939849,-0.913727,-0.147283,-1.338073,-1.779633,1.036546,-1.093738,1.169918,-1.188192,0.835332,-0.036449,0.87425,0.921477
83,TURKEY,GREECE,640,350,1991,0,0,1,1,0.279187671,0.231759963,0.267223845,0.058146384,0.06502329,0.046575224,0.052083623,SQ,SQ,1,1,0.222065,0.224145,0.22175,0.00111,0.224144,0.223105,0.000952,0.000795,0.878262,0.876204,0.878201,-0.123525,0.876205,0.877233,-0.123585,0.37628
84,RUSSIAN FEDERATION,GREECE,365,350,1916,0,0,1,1,0.104244426,0.129769375,0.341218301,0.040886977,0.084793019,0.097301086,0.201786815,ACQ2,SQ,0,1,-0.800667,1.68315,-0.925122,1.100841,1.374026,0.665081,0.72949,0.667262,1.152014,-1.216331,1.120725,-2.169286,-1.104911,-0.044057,-2.089155,-1.612678
85,FRANCE,PORTUGAL,220,235,1830,0,0,1,1,0.134838663,0.29636041,0.177867629,0.043814348,0.080706806,0.093740494,0.17267165,ACQ1,SQ,0,1,-0.367245,1.76904,-1.288947,1.69266,-0.199979,0.975513,-0.737211,-1.198062,1.143463,-1.012623,0.519306,-1.372799,0.366893,0.084083,-0.61744,-0.437352
86,ARGENTINA,GERMANY,160,255,1925,0,0,1,1,0.102946174,0.396001292,0.103380506,0.035485761,0.103703961,0.065898842,0.192583465,ACQ1,SQ,0,1,-1.037326,1.12154,-2.02834,1.121053,-1.017926,0.054135,-1.513919,-2.009426,0.933548,-1.146208,0.879853,-1.154336,0.916644,-0.133767,0.85482,0.858885
87,BOLIVIA,CHINA,145,710,1987,0,0,1,1,0.105176594,0.313970057,0.145753704,0.033758674,0.099765028,0.076247166,0.225328777,ACQ1,SQ,0,1,-0.94753,1.68174,-1.804859,1.598524,-0.57241,0.58327,-1.08429,-1.512954,1.361047,-1.206049,1.021148,-1.623302,0.289917,0.114582,-0.467234,-0.258608
88,RUSSIAN FEDERATION,LUXEMBOURG,365,212,1965,0,0,1,1,0.065394474,0.063630324,0.441442,0.018750227,0.038973064,0.120774824,0.251035087,ACQ2,SQ,0,1,-1.681589,1.131385,-1.915192,1.488568,0.474264,-0.466055,0.714645,0.597843,1.934546,-1.199216,1.97551,-2.11132,-0.923773,0.912662,-1.794914,-1.338861
89,"TANZANIA, UNITED REPUBLIC OF",MALAWI,510,553,1968,0,0,1,1,0.042407936,0.128135365,0.206255811,0.014707479,0.070093159,0.093377955,0.445022295,WAR,SQ,0,1,-1.44007,0.128236,-1.498211,0.838062,0.037052,-0.753644,0.717808,0.688737,0.26764,-1.387602,0.75798,-1.736977,-0.31066,-0.65083,-0.169695,0.004993
